,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,39.35903513,40.82611875,38.286048,Rhode Island,1,1988,0.5,Rhode Island,0,0.5
1,1,1988,43.86811758,43.26483388,50.37328867,Rhode Island,0,1988,0.5,Rhode Island,1,0.5
2,2,1992,49.4593091,46.469711,50.0725255,Rhode Island,0,1992,0.0,Rhode Island,1,0.3
3,3,1992,25.54399168,25.674036,26.98789888,Rhode Island,1,1992,1.0,Rhode Island,0,0.3
4,4,1996,56.56099019,54.9215642,56.53581883,Rhode Island,0,1996,0.5,Rhode Island,1,0.2
5,5,1996,23.96030026,25.1821342,25.0986772,Rhode Island,1,1996,0.5,Rhode Island,0,0.2
6,6,2000,50.19177503,52.45998057,49.8182695,Rhode Island,0,2000,1.0,Rhode Island,1,0.1
7,7,2000,29.53909274,31.26637986,25.22605107,Rhode Island,1,2000,0.0,Rhode Island,0,0.1
8,8,2004,33.54848752,36.403905,32.34072303,Rhode Island,1,2004,0.0,Rhode Island,0,0.0
9,9,2004,55.37687058,55.52474,52.29879617,Rhode Island,0,2004,1.0,Rhode Island,1,0.0
10,10,2008,53.68229835,56.998015,53.7220574,Rhode Island,0,2008,1.0,Rhode Island,1,0.0
11,11,2008,31.36458023,35.56548925,34.53843477,Rhode Island,1,2008,0.0,Rhode Island,0,0.0
12,12,2012,56.48433542,55.28587417,57.313151,Rhode Island,0,2012,1.0,Rhode Island,1,0.0
13,13,2012,34.297437,34.45445783,33.0941505,Rhode Island,1,2012,0.0,Rhode Island,0,0.0
14,14,2016,35.84405839,36.953955,39.10790133,Rhode Island,1,2016,0.0,Rhode Island,0,0.0
15,15,2016,48.31123742,48.17004375,43.06524133,Rhode Island,0,2016,1.0,Rhode Island,1,0.0
16,16,2020,33.69583345,32.44954667,31.38358,Rhode Island,1,2020,0.0,Rhode Island,0,0.0
17,17,2020,62.73268138,62.9632,67.29262,Rhode Island,0,2020,1.0,Rhode Island,1,0.0
