,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,43.97977432,45.0197255,42.95510975,Kansas,1,1988,0.555555556,Kansas,1
1,Michael S. Dukakis,1988,34.49975761,33.51114175,38.56455875,Kansas,0,1988,0.444444444,Kansas,0
2,Bill Clinton,1992,38.64064587,34.77820733,44.11795479,Kansas,0,1992,0.375,Kansas,0
3,George Bush,1992,35.44271632,36.48955233,39.69756643,Kansas,1,1992,0.625,Kansas,1
4,Bill Clinton,1996,38.65155977,37.9932276,38.3838851,Kansas,0,1996,0.428571429,Kansas,0
5,Bob Dole,1996,48.84921019,49.7811082,47.73557333,Kansas,1,1996,0.571428571,Kansas,1
6,Al Gore,2000,30.84880181,33.31199129,31.19453927,Kansas,0,2000,0.4,Kansas,0
7,George W. Bush,2000,56.30640368,56.92994771,55.21797927,Kansas,1,2000,0.6,Kansas,1
8,George W. Bush,2004,57.80097961,58.565275,58.8953864,Kansas,1,2004,0.555555556,Kansas,1
9,John Kerry,2004,36.13372229,34.880446,35.38465933,Kansas,0,2004,0.444444444,Kansas,0
10,Barack Obama,2008,39.23902887,38.944132,37.13052037,Kansas,0,2008,0.552631579,Kansas,0
11,John McCain,2008,53.62304116,55.23217775,55.98936693,Kansas,1,2008,0.447368421,Kansas,1
12,Barack Obama,2012,35.78673561,35.99758583,36.15298457,Kansas,0,2012,0.525,Kansas,0
13,Mitt Romney,2012,57.53525032,57.982167,55.90364663,Kansas,1,2012,0.475,Kansas,1
14,Donald Trump,2016,45.7531871,49.57298,45.24040933,Kansas,1,2016,0.538461538,Kansas,1
15,Hillary Rodham Clinton,2016,37.14782806,36.93468375,35.496694,Kansas,0,2016,0.461538462,Kansas,0
16,Donald Trump,2020,50.62326968,53.18193333,50.61003467,Kansas,1,2020,0.666666667,Kansas,1
17,Joseph R. Biden Jr.,2020,42.66020452,41.20144,41.31867167,Kansas,0,2020,0.333333333,Kansas,0
